,Venue,City,Country,Date,Year,Setlist,State
839,Nassau Coliseum,Uniondale,USA,1985-03-27,1985,"['mississippi half-step', 'hell in a bucket', 'west l.a. fadeaway', 'mama tried', 'big river', ""tom thumb's blues"", 'brown eyed women', 'tons of steel', 'might as well', 'shakedown street', ""uncle john's band"", ""playin' in the band"", 'drums', 'stella blue', 'turn on your love light', 'touch of grey']",NY
840,Nassau Coliseum,Uniondale,USA,1985-03-28,1985,"[""truckin'"", ""smokestack lightnin'"", 'high time', 'el paso', 'peggy-o', 'cassidy', 'china cat sunflower', 'i know you rider', 'scarlet begonias', 'fire on the mountain', 'looks like rain', 'drums', ""gimme some lovin'"", 'the other one', 'black peter', 'sugar magnolia', 'day job']",NY
841,Nassau Coliseum,Uniondale,USA,1985-03-29,1985,"['cold rain and snow', 'down in the bottom', ""ain't superstitious"", 'friend of the devil', 'supplication', 'my brother esau', 'tennessee jed', 'new minglewood blues', ""don't ease me in"", 'terrapin station', 'man smart/woman smarter', ""goin' down the road feelin' bad"", 'baby what you want me to do', 'drums', 'wharf rat', ""throwin' stones"", 'johnny b. goode', 'brokedown palace']",NY
842,Cumberland County Civic Center,Portland,USA,1985-03-31,1985,"['music never stopped', 'candyman', 'c.c. rider', 'loser', 'beat it on down the line', ""dupree's diamond blues"", ""it's all over now"", ""don't ease me in"", 'iko iko', 'samson and delilah', ""he's gone"", 'i need a miracle', 'china doll', 'drums', 'the wheel', ""playin' in the band"", 'day tripper', 'u.s. blues']",ME
843,Cumberland County Civic Center,Portland,USA,1985-04-01,1985,"['bertha', 'greatest story ever told', 'west l.a. fadeaway', 'little red rooster', 'bird song', ""tom thumb's blues"", 'looks like rain', 'might as well', 'china cat sunflower', 'i know you rider', 'estimated prophet', 'eyes of the world', 'drums', 'the other one', 'stella blue', 'around and around', 'not fade away', 'baby blue']",ME
844,Providence Civic Center,Providence,USA,1985-04-03,1985,"['hell in a bucket', 'sugaree', 'me and my uncle', 'mexicali blues', 'ramble on rose', 'down in the bottom', ""ain't superstitious"", 'row jimmy', 'let it grow', 'terrapin station', 'man smart/woman smarter', 'ship of fools', ""truckin'"", 'spoonful', 'drums', 'wharf rat', ""throwin' stones"", 'sugar magnolia', 'day job']",RI
845,Providence Civic Center,Providence,USA,1985-04-04,1985,"['alabama getaway', 'jack straw', 'dire wolf', 'el paso', 'she belongs to me', 'my brother esau', 'friend of the devil', 'lost sailor', 'saint of circumstance', 'deal', 'i need a miracle', 'crazy fingers', 'samson and delilah', ""he's gone"", ""goin' down the road feelin' bad"", 'drums', 'the wheel', 'black peter', 'around and around', 'turn on your love light', 'u.s. blues']",RI
846,The Spectrum,Philadelphia,USA,1985-04-06,1985,"['feel like a stranger', 'they love each other', 'new minglewood blues', ""dupree's diamond blues"", 'mama tried', 'big river', 'big railroad blues', 'looks like rain', ""don't ease me in"", 'china cat sunflower', 'i know you rider', ""playin' in the band"", ""uncle john's band"", 'drums', 'the other one', ""throwin' stones"", 'not fade away', 'one more saturday night']",PA
847,The Spectrum,Philadelphia,USA,1985-04-07,1985,"[""why don't we do it in the road"", 'mississippi half-step', 'c.c. rider', 'bird song', ""dancin' in the streets"", 'deal', 'shakedown street', 'samson and delilah', 'she belongs to me', 'man smart/woman smarter', 'drums', ""gimme some lovin'"", ""truckin'"", ""smokestack lightnin'"", 'morning dew', 'sugar magnolia', 'day job']",PA
848,The Spectrum,Philadelphia,USA,1985-04-08,1985,"['midnight hour', ""walkin' the dog"", 'big boss man', 'me and my uncle', 'cumberland blues', 'down in the bottom', ""ain't superstitious"", 'althea', 'tons of steel', 'supplication', 'might as well', 'revolution', 'hell in a bucket', 'touch of grey', 'estimated prophet', 'eyes of the world', 'drums', ""goin' down the road feelin' bad"", 'stella blue', 'around and around', 'turn on your love light', 'brokedown palace']",PA
849,Irvine Meadows Amphitheater,Laguna Hills,USA,1985-04-13,1985,"[""why don't we do it in the road"", 'bertha', 'jack straw', 'west l.a. fadeaway', 'little red rooster', 'peggy-o', 'cassidy', 'deal', 'terrapin station', ""playin' in the band"", 'crazy fingers', ""truckin'"", 'drums', 'the wheel', ""throwin' stones"", 'one more saturday night', 'baby blue']",CA
850,Irvine Meadows Amphitheater,Laguna Hills,USA,1985-04-14,1985,"['touch of grey', 'hell in a bucket', 'sugaree', 'down in the bottom', ""ain't superstitious"", 'brown eyed women', 'tons of steel', 'big railroad blues', 'looks like rain', ""don't ease me in"", 'i need a miracle', 'china cat sunflower', 'i know you rider', 'man smart/woman smarter', ""he's gone"", 'drums', 'dear mr. fantasy', 'the other one', 'wharf rat', 'sugar magnolia', 'gloria']",CA
851,Frost Amphitheater (Stanford U),Palo Alto,USA,1985-04-27,1985,"[""dancin' in the streets"", 'bertha', 'little red rooster', 'brown eyed women', 'my brother esau', 'ramble on rose', ""tom thumb's blues"", 'cold rain and snow', 'music never stopped', 'scarlet begonias', 'eyes of the world', ""goin' down the road feelin' bad"", 'man smart/woman smarter', 'drums', 'the wheel', ""truckin'"", 'the other one', 'black peter', 'around and around', 'one more saturday night', 'day job']",CA
852,Frost Amphitheater (Stanford U),Palo Alto,USA,1985-04-28,1985,"[""gimme some lovin'"", 'mississippi half-step', 'new minglewood blues', 'bird song', 'tons of steel', 'china cat sunflower', 'i know you rider', 'hell in a bucket', 'crazy fingers', ""playin' in the band"", 'china doll', ""playin' in the band"", 'drums', ""playin' in the band"", 'wharf rat', ""throwin' stones"", 'not fade away', 'u.s. blues', 'she belongs to me']",CA
853,Greek Theater (U of California),Berkeley,USA,1985-06-14,1985,"[""dancin' in the streets"", 'west l.a. fadeaway', 'c.c. rider', 'peggy-o', 'hell in a bucket', 'keep on growing', 'stagger lee', 'let it grow', 'deal', 'morning dew', ""playin' in the band"", 'china doll', 'drums', ""truckin'"", ""smokestack lightnin'"", 'comes a time', 'sugar magnolia', 'day job']",CA
854,Greek Theater (U of California),Berkeley,USA,1985-06-15,1985,"['touch of grey', 'new minglewood blues', 'friend of the devil', 'cassidy', ""dupree's diamond blues"", 'me and my uncle', 'big river', 'might as well', 'china cat sunflower', 'i know you rider', 'lost sailor', 'saint of circumstance', 'terrapin station', 'drums', 'the wheel', ""gimme some lovin'"", ""throwin' stones"", 'not fade away', 'she belongs to me', 'u.s. blues']",CA
855,Greek Theater (U of California),Berkeley,USA,1985-06-16,1985,"['midnight hour', 'bertha', ""walkin' blues"", 'tennessee jed', 'my brother esau', 'big railroad blues', 'looks like rain', 'mississippi half-step', 'promised land', 'scarlet begonias', 'fire on the mountain', 'samson and delilah', 'cryptical envelopment', 'the other one', 'drums', ""goin' down the road feelin' bad"", 'i need a miracle', 'wharf rat', 'turn on your love light', 'brokedown palace']",CA
856,Alpine Valley Music Theater,East Troy,USA,1985-06-21,1985,"['cold rain and snow', 'down in the bottom', ""ain't superstitious"", 'stagger lee', 'mama tried', 'mexicali blues', 'bird song', 'looks like rain', 'day job', 'man smart/woman smarter', ""goin' down the road feelin' bad"", 'estimated prophet', 'eyes of the world', 'drums', ""truckin'"", 'black peter', 'around and around', 'sugar magnolia', 'baby blue']",WI
857,Alpine Valley Music Theater,East Troy,USA,1985-06-22,1985,"['hell in a bucket', 'sugaree', ""walkin' blues"", 'candyman', ""it's all over now"", 'althea', 'cassidy', 'brown eyed women', 'one more saturday night', 'keep on growing', 'mississippi half-step', 'lost sailor', 'saint of circumstance', 'drums', 'dear mr. fantasy', 'i need a miracle', 'stella blue', ""throwin' stones"", 'not fade away', 'brokedown palace']",WI
858,River Bend Music Center,Cincinnati,USA,1985-06-24,1985,"['alabama getaway', 'greatest story ever told', 'they love each other', 'new minglewood blues', 'tennessee jed', 'my brother esau', 'loser', 'let it grow', 'iko iko', 'samson and delilah', ""he's gone"", ""smokestack lightnin'"", 'cryptical envelopment', 'drums', 'comes a time', 'the other one', 'cryptical envelopment', 'wharf rat', 'around and around', ""good lovin'"", 'u.s. blues']",OH
859,Blossom Music Center,Cuyahoga Falls,USA,1985-06-25,1985,"['day tripper', 'west l.a. fadeaway', 'c.c. rider', 'dire wolf', 'beat it on down the line', 'row jimmy', 'me and my uncle', 'big river', 'big railroad blues', 'jack straw', 'might as well', ""gimme some lovin'"", 'china cat sunflower', 'i know you rider', ""playin' in the band"", 'drums', 'the wheel', ""playin' in the band"", 'china doll', 'sugar magnolia', 'touch of grey']",OH
860,Saratoga Performing Arts Center,Saratoga Springs,USA,1985-06-27,1985,"['midnight hour', 'bertha', 'little red rooster', 'stagger lee', 'el paso', 'crazy fingers', 'supplication', 'high time', 'hell in a bucket', ""don't ease me in"", 'feel like a stranger', 'eyes of the world', ""goin' down the road feelin' bad"", 'man smart/woman smarter', 'drums', ""truckin'"", 'spoonful', 'black peter', 'turn on your love light', 'johnny b. goode', 'baby blue']",NY
861,Hershey Park Stadium,Hershey,USA,1985-06-28,1985,"['cold rain and snow', 'promised land', 'ramble on rose', 'down in the bottom', ""ain't superstitious"", 'bird song', 'comes a time', 'deal', 'music never stopped', ""tom thumb's blues"", 'estimated prophet', 'terrapin station', 'drums', 'i need a miracle', 'morning dew', ""throwin' stones"", 'not fade away', 'day job']",PA
862,Merriweather Post Pavilion,Columbia,USA,1985-06-30,1985,"['mississippi half-step', 'c.c. rider', 'brown eyed women', 'mama tried', 'mexicali blues', 'keep on growing', 'big railroad blues', 'looks like rain', ""don't ease me in"", 'shakedown street', 'samson and delilah', ""gimme some lovin'"", ""he's gone"", 'cryptical envelopment', 'drums', 'the other one', 'stella blue', 'around and around', 'sugar magnolia', 'u.s. blues']",MD
863,Merriweather Post Pavilion,Columbia,USA,1985-07-01,1985,"[""dancin' in the streets"", ""dupree's diamond blues"", ""walkin' blues"", 'jack-a-roe', 'my brother esau', 'stagger lee', 'let it grow', 'day job', 'scarlet begonias', 'fire on the mountain', ""playin' in the band"", ""uncle john's band"", 'drums', 'dear mr. fantasy', ""goin' down the road feelin' bad"", ""good lovin'"", 'satisfaction', 'baby blue']",MD
864,Pittsburgh Civic Arena,Pittsburgh,USA,1985-07-02,1985,"['jack straw', 'it must have been the roses', 'new minglewood blues', 'friend of the devil', 'cassidy', 'big railroad blues', 'promised land', 'man smart/woman smarter', 'crazy fingers', 'lost sailor', 'saint of circumstance', 'terrapin station', 'drums', 'wharf rat', ""throwin' stones"", 'turn on your love light', 'revolution', 'brokedown palace']",PA
865,Ventura County Fairgrounds,Ventura,USA,1985-07-13,1985,"['one more saturday night', 'fire on the mountain', ""walkin' blues"", ""dupree's diamond blues"", 'mama tried', 'big river', 'bird song', 'music never stopped', 'touch of grey', 'man smart/woman smarter', 'terrapin station', 'drums', 'the wheel', 'cryptical envelopment', 'the other one', 'comes a time', 'around and around', 'sugar magnolia', 'u.s. blues']",CA
866,Ventura County Fairgrounds,Ventura,USA,1985-07-14,1985,"['hell in a bucket', 'they love each other', 'my brother esau', 'althea', 'cassidy', 'big railroad blues', 'looks like rain', 'might as well', 'china cat sunflower', 'i know you rider', 'samson and delilah', 'ship of fools', 'estimated prophet', 'eyes of the world', 'drums', ""truckin'"", ""smokestack lightnin'"", 'black peter', ""throwin' stones"", 'not fade away', 'day job']",CA
867,Boreal Ridge Ski Resort,Donner's Summit,USA,1985-08-24,1985,"['alabama getaway', 'greatest story ever told', 'west l.a. fadeaway', 'new minglewood blues', 'friend of the devil', 'hell in a bucket', ""don't ease me in"", 'feel like a stranger', 'china cat sunflower', 'i know you rider', ""he's gone"", 'drums', ""truckin'"", 'black peter', 'around and around', 'turn on your love light', 'day tripper']",CA
868,Southern Star Amphitheater,Houston,USA,1985-08-30,1985,"['jack straw', 'row jimmy', 'c.c. rider', 'bird song', 'looks like rain', 'deal', 'scarlet begonias', 'touch of grey', 'samson and delilah', 'drums', ""gimme some lovin'"", 'the wheel', 'the other one', 'morning dew', 'sugar magnolia']",TX
869,Manor Downs,Austin,USA,1985-08-31,1985,"['mississippi half-step', 'el paso', ""dupree's diamond blues"", 'mexicali blues', 'big river', 'althea', 'my brother esau', 'jack-a-roe', 'let it grow', 'terrapin station', 'estimated prophet', 'drums', ""goin' down the road feelin' bad"", 'stella blue', ""throwin' stones"", 'not fade away', 'she belongs to me', 'one more saturday night']",TX
870,Zoo Amphitheater,Oklahoma City,USA,1985-09-02,1985,"['bertha', 'greatest story ever told', 'west l.a. fadeaway', 'mama tried', 'me and my uncle', 'stagger lee', 'iko iko', 'new minglewood blues', 'ramble on rose', 'hell in a bucket', 'china cat sunflower', 'i know you rider', 'man smart/woman smarter', 'ship of fools', ""playin' in the band"", 'drums', 'i need a miracle', 'china doll', 'around and around', ""good lovin'"", 'day job']",OK
871,Starlight Theater,Kansas City,USA,1985-09-03,1985,"['feel like a stranger', 'they love each other', 'little red rooster', 'dire wolf', 'cassidy', 'big railroad blues', 'music never stopped', ""don't ease me in"", 'cryptical envelopment', 'the other one', 'eyes of the world', ""don't need love"", 'drums', ""nobody's fault but mine"", ""truckin'"", ""smokestack lightnin'"", 'comes a time', 'turn on your love light', 'baby blue']",MO
872,Red Rocks Amphitheater,Morrison,USA,1985-09-05,1985,"['cold rain and snow', 'c.c. rider', 'candyman', 'beat it on down the line', 'stagger lee', 'me and my uncle', 'big river', 'peggy-o', 'let it grow', 'scarlet begonias', 'fire on the mountain', 'estimated prophet', 'eyes of the world', 'drums', ""gimme some lovin'"", 'wharf rat', 'sugar magnolia', 'brokedown palace']",CO
873,Red Rocks Amphitheater,Morrison,USA,1985-09-06,1985,"['hell in a bucket', 'sugaree', ""it's all over now"", 'bird song', 'el paso', ""don't ease me in"", 'iko iko', 'looks like rain', ""he's gone"", 'spoonful', 'drums', 'the wheel', 'black peter', ""throwin' stones"", 'not fade away', 'u.s. blues']",CO
874,Red Rocks Amphitheater,Morrison,USA,1985-09-07,1985,"['the frozen logger', 'mississippi half-step', 'new minglewood blues', 'brown eyed women', 'my brother esau', 'loser', ""dupree's diamond blues"", 'one more saturday night', 'shakedown street', 'crazy fingers', 'samson and delilah', ""uncle john's band"", ""playin' in the band"", 'drums', 'dear mr. fantasy', 'hey jude reprise', 'dear mr. fantasy', ""truckin'"", 'comes a time', 'turn on your love light', 'johnny b. goode', 'baby blue']",CO
875,Henry J. Kaiser Convention Center,Oakland,USA,1985-09-10,1985,"['jack straw', 'peggy-o', 'little red rooster', 'stagger lee', 'me and my uncle', 'mexicali blues', 'ramble on rose', 'cassidy', ""don't ease me in"", 'china cat sunflower', 'i know you rider', 'estimated prophet', 'eyes of the world', 'good time blues', 'drums', 'china doll', ""goin' down the road feelin' bad"", 'around and around', 'sugar magnolia', 'day job']",CA
876,Henry J. Kaiser Convention Center,Oakland,USA,1985-09-11,1985,"['mississippi half-step', 'new minglewood blues', 'friend of the devil', 'beat it on down the line', 'promised land', 'tennessee jed', 'let it grow', 'deal', 'touch of grey', 'hell in a bucket', 'terrapin station', 'man smart/woman smarter', 'drums', ""gimme some lovin'"", 'stella blue', ""good lovin'"", 'u.s. blues']",CA
877,Henry J. Kaiser Convention Center,Oakland,USA,1985-09-12,1985,"['greatest story ever told', 'bertha', ""it's all over now"", 'row jimmy', 'my brother esau', 'big railroad blues', 'looks like rain', 'might as well', 'help on the way', 'slipknot!', ""franklin's tower"", ""playin' in the band"", 'drums', 'the other one', 'black peter', ""throwin' stones"", 'not fade away', 'drums', 'not fade away', 'brokedown palace']",CA
878,Devore Field (Southwestern U),Chula Vista,USA,1985-09-15,1985,"['alabama getaway', 'promised land', 'west l.a. fadeaway', 'mama tried', 'big river', ""dupree's diamond blues"", ""smokestack lightnin'"", 'deal', 'scarlet begonias', 'fire on the mountain', 'samson and delilah', 'she belongs to me', ""truckin'"", 'comes a time', 'around and around', 'drums', 'u.s. blues', 'satisfaction', 'brokedown palace']",CA
879,The Sportatorium,Hollywood,USA,1985-10-25,1985,"['deal', 'little red rooster', 'iko iko', 'el paso', 'dire wolf', ""it's all over now"", 'loser', 'let it grow', 'morning dew', 'estimated prophet', 'eyes of the world', 'drums', 'i need a miracle', 'black peter', 'sugar magnolia', 'baby blue']",FL
880,Sun Dome,Tampa,USA,1985-10-26,1985,"[""gimme some lovin'"", 'greatest story ever told', ""dupree's diamond blues"", 'c.c. rider', 'stagger lee', 'me and my uncle', 'big river', 'big railroad blues', 'looks like rain', ""don't ease me in"", 'china cat sunflower', 'i know you rider', 'man smart/woman smarter', ""he's gone"", ""don't need love"", 'drums', 'comes a time', ""throwin' stones"", ""goin' down the road feelin' bad"", 'one more saturday night', 'midnight hour']",FL
881,Fox Theater,Atlanta,USA,1985-10-28,1985,"['sugaree', 'kansas city', 'peggy-o', 'my brother esau', 'ramble on rose', 'cassidy', 'row jimmy', 'promised land', 'scarlet begonias', 'touch of grey', 'man smart/woman smarter', 'terrapin station', 'drums', ""truckin'"", ""smokestack lightnin'"", 'stella blue', 'around and around', ""good lovin'"", 'day job']",GA
882,Fox Theater,Atlanta,USA,1985-10-29,1985,"['feel like a stranger', 'friend of the devil', 'new minglewood blues', 'bird song', 'hell in a bucket', 'deal', 'mississippi half-step', ""franklin's tower"", 'lost sailor', 'saint of circumstance', 'crazy fingers', 'drums', 'the wheel', 'the other one', 'wharf rat', 'johnny b. goode', 'brokedown palace']",GA
883,Carolina Coliseum (U of South Carolina),Columbia,USA,1985-10-31,1985,"['werewolves of london', 'music never stopped', 'west l.a. fadeaway', 'mama tried', 'mexicali blues', 'tennessee jed', 'looks like rain', 'might as well', 'shakedown street', ""playin' in the band"", 'ship of fools', 'drums', 'dear mr. fantasy', 'not fade away', 'u.s. blues']",SC
884,Richmond Coliseum,Richmond,USA,1985-11-01,1985,"[""dancin' in the streets"", 'cold rain and snow', 'little red rooster', 'stagger lee', 'me and my uncle', 'big river', 'brown eyed women', 'jack straw', ""don't ease me in"", 'samson and delilah', 'high time', ""he's gone"", 'spoonful', 'comes a time', 'lost sailor', 'drums', 'saint of circumstance', ""gimme some lovin'"", 'she belongs to me', 'gloria', 'day job']",VA
885,Richmond Coliseum,Richmond,USA,1985-11-02,1985,"['bertha', 'greatest story ever told', ""dupree's diamond blues"", 'c.c. rider', 'althea', 'my brother esau', 'candyman', 'let it grow', 'iko iko', 'estimated prophet', ""uncle john's band"", 'china doll', 'drums', 'morning dew', ""throwin' stones"", 'turn on your love light', 'baby blue']",VA
886,The Centrum,Worcester,USA,1985-11-04,1985,"['alabama getaway', 'promised land', 'it must have been the roses', 'el paso', 'west l.a. fadeaway', 'new minglewood blues', 'big railroad blues', 'music never stopped', 'might as well', 'china cat sunflower', 'i know you rider', ""playin' in the band"", 'terrapin station', 'drums', 'the wheel', ""truckin'"", 'wharf rat', 'sugar magnolia', 'u.s. blues']",MA
887,The Centrum,Worcester,USA,1985-11-05,1985,"['hell in a bucket', 'they love each other', 'kansas city', 'tennessee jed', ""it's all over now"", 'bird song', 'looks like rain', ""don't ease me in"", 'shakedown street', 'man smart/woman smarter', 'ship of fools', 'supplication', ""playin' reprise"", ""don't need love"", 'drums', ""tom thumb's blues"", ""goin' down the road feelin' bad"", 'black peter', 'around and around', ""good lovin'"", 'brokedown palace']",MA
888,War Memorial Auditorium,Rochester,USA,1985-11-07,1985,"[""dancin' in the streets"", 'dire wolf', 'c.c. rider', 'loser', 'mama tried', 'mexicali blues', 'cumberland blues', 'beat it on down the line', 'deal', 'touch of grey', 'samson and delilah', 'high time', 'let it grow', 'drums', ""gimme some lovin'"", 'stella blue', ""throwin' stones"", 'not fade away', 'midnight hour']",NY
889,War Memorial Auditorium,Rochester,USA,1985-11-08,1985,"['iko iko', 'little red rooster', 'peggy-o', 'my brother esau', 'brown eyed women', 'baby what you want me to do', 'jack straw', 'might as well', 'revolution', 'estimated prophet', 'eyes of the world', 'drums', 'the other one', 'i need a miracle', 'she belongs to me', 'sugar magnolia', 'satisfaction']",NY
890,Brendan Byrne Arena,East Rutherford,USA,1985-11-10,1985,"['touch of grey', 'hell in a bucket', 'sugaree', 'cassidy', 'stagger lee', ""it's all over now"", 'row jimmy', 'feel like a stranger', 'mississippi half-step', 'i know you rider', ""playin' in the band"", ""uncle john's band"", 'supplication', 'drums', ""truckin'"", 'comes a time', 'around and around', ""good lovin'"", 'baby blue']",NJ
891,Brendan Byrne Arena,East Rutherford,USA,1985-11-11,1985,"[""walkin' the dog"", 'deal', 'new minglewood blues', 'althea', 'me and my uncle', 'big river', 'bird song', 'looks like rain', ""don't ease me in"", 'scarlet begonias', 'fire on the mountain', 'estimated prophet', 'eyes of the world', 'drums', 'dear mr. fantasy', ""goin' down the road feelin' bad"", ""throwin' stones"", 'turn on your love light', 'brokedown palace']",NJ
892,Long Beach Arena,Long Beach,USA,1985-11-16,1985,"['hell in a bucket', 'sugaree', 'el paso', ""dupree's diamond blues"", 'little red rooster', 'west l.a. fadeaway', 'let it grow', 'tennessee jed', 'cumberland blues', 'i need a miracle', 'crazy fingers', 'drums', 'comes a time', ""gimme some lovin'"", ""truckin'"", 'black peter', ""good lovin'"", 'day job']",CA
893,Long Beach Arena,Long Beach,USA,1985-11-17,1985,"['mississippi half-step', 'new minglewood blues', 'stagger lee', ""it's all over now"", 'friend of the devil', 'cassidy', 'big railroad blues', 'looks like rain', 'might as well', 'china cat sunflower', 'i know you rider', 'samson and delilah', ""he's gone"", 'spoonful', 'good time blues', 'drums', 'the wheel', ""throwin' stones"", 'not fade away', 'baby blue']",CA
894,Henry J. Kaiser Convention Center,Oakland,USA,1985-11-20,1985,"['jack straw', 'peggy-o', 'c.c. rider', 'stagger lee', 'my brother esau', 'high time', 'beat it on down the line', 'promised land', ""don't ease me in"", 'iko iko', 'lost sailor', 'saint of circumstance', 'terrapin station', ""don't need love"", 'drums', 'stella blue', 'sugar magnolia', 'u.s. blues']",CA
895,Henry J. Kaiser Convention Center,Oakland,USA,1985-11-21,1985,"['big boy pete', 'dire wolf', 'little red rooster', 'brown eyed women', 'me and my uncle', 'mexicali blues', 'ramble on rose', 'looks like rain', 'might as well', 'shakedown street', 'crazy fingers', ""playin' in the band"", 'she belongs to me', 'drums', 'the other one', 'wharf rat', ""playin' in the band"", ""gimme some lovin'"", 'midnight hour', ""walkin' the dog""]",CA
896,Henry J. Kaiser Convention Center,Oakland,USA,1985-11-22,1985,"['hell in a bucket', 'sugaree', 'new minglewood blues', 'althea', 'cassidy', ""dupree's diamond blues"", 'let it grow', 'touch of grey', 'estimated prophet', 'eyes of the world', 'drums', 'morning dew', ""throwin' stones"", 'turn on your love light', 'brokedown palace']",CA
897,Oakland Coliseum,Oakland,USA,1985-12-30,1985,"[""gimme some lovin'"", 'greatest story ever told', 'west l.a. fadeaway', 'little red rooster', 'stagger lee', 'my brother esau', 'tennessee jed', 'looks like rain', ""don't ease me in"", 'quinn the eskimo', 'samson and delilah', ""he's gone"", 'i need a miracle', 'crazy fingers', 'jam', 'drums', 'the other one', 'wharf rat', 'sugar magnolia', 'baby blue']",CA
898,Oakland Coliseum,Oakland,USA,1985-12-31,1985,"['not fade away', 'touch of grey', 'tons of steel', 'c.c. rider', ""dupree's diamond blues"", 'cassidy', 'brown eyed women', 'let it grow', 'midnight hour', 'sugaree', 'man smart/woman smarter', 'ship of fools', ""playin' in the band"", 'terrapin station', 'drums', ""truckin'"", 'black peter', ""throwin' stones"", 'not fade away', 'not fade away', 'turn on your love light', 'brokedown palace']",CA
899,Henry J. Kaiser Convention Center,Oakland,USA,1986-02-08,1986,"['iko iko', 'little red rooster', 'peggy-o', 'beat it on down the line', 'stagger lee', ""it's all over now"", 'bertha', 'one more saturday night', 'mississippi half-step', ""franklin's tower"", ""playin' in the band"", 'china doll', 'drums', ""gimme some lovin'"", 'black peter', 'sugar magnolia', 'day job']",CA
900,Henry J. Kaiser Convention Center,Oakland,USA,1986-02-09,1986,"['jack straw', 'they love each other', 'c.c. rider', 'loser', 'man smart/woman smarter', 'deal', 'quinn the eskimo', 'samson and delilah', ""he's gone"", ""smokestack lightnin'"", 'comes a time', 'drums', 'the other one', 'around and around', ""good lovin'"", 'baby blue']",CA
901,Henry J. Kaiser Convention Center,Oakland,USA,1986-02-11,1986,"['china cat sunflower', 'i know you rider', 'new minglewood blues', ""dupree's diamond blues"", 'me and my uncle', 'mexicali blues', 'bird song', 'music never stopped', 'might as well', 'drums', 'iko iko', 'eyes of the world', 'drums', ""truckin'"", 'stella blue', 'not fade away', 'not fade away', 'hey bo diddley', ""goin' down the road feelin' bad""]",CA
902,Henry J. Kaiser Convention Center,Oakland,USA,1986-02-12,1986,"['hell in a bucket', 'sugaree', 'tons of steel', 'tennessee jed', 'cassidy', ""don't ease me in"", 'scarlet begonias', 'fire on the mountain', 'estimated prophet', 'drums', 'willie and the hand jive', 'the wheel', 'midnight hour', 'johnny b. goode', 'u.s. blues']",CA
903,Henry J. Kaiser Convention Center,Oakland,USA,1986-02-14,1986,"['feel like a stranger', 'cold rain and snow', 'mama tried', 'big river', 'west l.a. fadeaway', 'looks like rain', 'brown eyed women', 'let it grow', 'keep on growing', 'lost sailor', 'saint of circumstance', 'terrapin station', 'drums', 'wharf rat', ""throwin' stones"", 'turn on your love light', 'brokedown palace']",CA
904,Hampton Roads Coliseum,Hampton,USA,1986-03-19,1986,"['hell in a bucket', 'stagger lee', 'c.c. rider', 'cold rain and snow', 'beat it on down the line', 'big railroad blues', 'looks like rain', 'visions of johanna', 'music never stopped', ""don't ease me in"", 'china cat sunflower', 'i know you rider', ""playin' in the band"", 'drums', 'the wheel', ""truckin'"", 'black peter', 'around and around', 'johnny b. goode', 'quinn the eskimo']",VA
905,Hampton Roads Coliseum,Hampton,USA,1986-03-20,1986,"['touch of grey', 'little red rooster', 'friend of the devil', ""it's all over now"", 'row jimmy', 'me and my uncle', 'mexicali blues', 'althea', 'box of rain', 'iko iko', 'estimated prophet', 'eyes of the world', 'drums', 'wharf rat', ""throwin' stones"", 'not fade away', 'u.s. blues']",VA
906,Hampton Roads Coliseum,Hampton,USA,1986-03-21,1986,"['roadrunner', ""dupree's diamond blues"", 'new minglewood blues', 'bird song', 'tons of steel', 'supplication', 'let it grow', ""uncle john's band"", 'terrapin station', ""playin' in the band"", 'drums', 'i need a miracle', 'stella blue', 'sugar magnolia', 'baby blue']",VA
907,The Spectrum,Philadelphia,USA,1986-03-23,1986,"[""gimme some lovin'"", 'deal', 'willie and the hand jive', 'candyman', 'cassidy', 'west l.a. fadeaway', 'mama tried', 'big river', 'might as well', 'shakedown street', 'samson and delilah', ""he's gone"", 'spoonful', 'drums', 'the other one', 'comes a time', ""good lovin'"", 'day job']",PA
908,The Spectrum,Philadelphia,USA,1986-03-24,1986,"['alabama getaway', 'greatest story ever told', 'dire wolf', 'little red rooster', 'brown eyed women', 'my brother esau', 'ramble on rose', 'el paso', 'box of rain', 'mississippi half-step', 'man smart/woman smarter', 'high time', 'lost sailor', 'saint of circumstance', 'drums', 'morning dew', 'midnight hour']",PA
909,The Spectrum,Philadelphia,USA,1986-03-25,1986,"['feel like a stranger', 'tennessee jed', 'c.c. rider', 'tons of steel', 'it must have been the roses', 'desolation row', ""don't ease me in"", 'scarlet begonias', 'touch of grey', 'looks like rain', ""goin' down the road feelin' bad"", 'drums', ""tom thumb's blues"", 'black peter', ""throwin' stones"", 'turn on your love light', 'brokedown palace']",PA
910,Cumberland County Civic Center,Portland,USA,1986-03-27,1986,"['jack straw', 'peggy-o', 'new minglewood blues', 'revolutionary hamstrung blues', 'bertha', 'wang dang doodle', 'big railroad blues', 'supplication', 'promised land', 'china cat sunflower', 'i know you rider', 'estimated prophet', 'eyes of the world', 'drums', 'spanish jam', ""truckin'"", 'wharf rat', 'sugar magnolia', 'day job']",ME
