,Venue,City,Country,Date,Year,Setlist,State
26,Radio Luxembourg,unknown,Luxumbourg,1972-05-16,1972,"['bertha', 'me and my uncle', 'mr. charlie', 'sugaree', 'black throated wind', 'chinatown shuffle', 'china cat sunflower', 'i know you rider', 'beat it on down the line', 'hurts me too', 'tennessee jed', 'playing in the band', 'promised land', ""truckin'"", 'drums', 'the other one', 'sing me back home', 'sugar magnolia', 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",N/A
27,Deutsches Museum Halle,Munich,West Germany,1972-05-18,1972,"[""truckin'"", 'sugaree', 'mr. charlie', 'jack straw', 'tennessee jed', 'chinatown shuffle', 'black throated wind', 'china cat sunflower', 'i know you rider', 'el paso', 'hurts me too', 'you win again', 'playing in the band', ""good lovin'"", 'casey jones', 'top of the world', 'me and my uncle', 'ramble on rose', 'beat it on down the line', 'dark star', 'morning dew', 'drums', 'sugar magnolia', 'sing me back home', 'one more saturday night']",N/A
28,The Strand Lyceum,London,England,1972-05-23,1972,"['promised land', 'sugaree', 'mr. charlie', 'black throated wind', 'tennessee jed', 'next time you see me', 'jack straw', 'china cat sunflower', 'i know you rider', 'me & my uncle', 'chinatown shuffle', 'big railroad blues', 'two souls in communion', 'playing in the band', 'top of the world', 'rockin pneumonia', 'mexicali blues', ""good lovin'"", 'casey jones', 'ramble on rose', 'dark star', 'drums', 'dark star', 'morning dew', ""he's gone"", 'sugar magnolia', 'comes a time', ""goin' down the road feeling bad"", 'not fade away', 'hey bo diddley', 'not fade away', ""uncle john's band""]",N/A
29,The Strand Lyceum,London,England,1972-05-24,1972,"['cold rain and snow', 'beat it on down the line', 'mr. charlie', 'deal', 'me and my uncle', 'hurts me too', 'dire wolf', 'black throated wind', 'chinatown shuffle', 'china cat sunflower', 'i know you rider', 'playing in the band', 'you win again', 'jack straw', 'casey jones', ""rockin' pneumonia"", 'mexicali blues', 'black peter', ""truckin'"", 'drums', 'the other one', 'sing me back home', 'sugar magnolia', 'turn on your lovelight', 'one more saturday night']",N/A
30,The Strand Lyceum,London,England,1972-05-25,1972,"['promised land', 'brown eyed women', 'big boss man', 'black throated wind', 'tennessee jed', 'mr. charlie', 'jack straw', 'china cat sunflower', 'i know you rider', 'me and bobby mcgee', ""good lovin'"", 'playing in the band', 'brokedown palace', 'casey jones', 'me and my uncle', 'big railroad blues', 'chinatown shuffle', 'ramble on rose', ""uncle john's band"", 'wharf rat', 'dark star', 'sugar magnolia', 'comes a time', 'el paso', 'top of the world', ""goin' down the road feeling bad"", 'one more saturday night']",N/A
31,The Strand Lyceum,London,England,1972-05-26,1972,"['promised land', 'sugaree', 'mr. charlie', 'black throated wind', 'loser', 'next time you see me', 'el paso', 'dire wolf', 'two souls in communion', 'playing in the band', ""he's gone"", 'cumberland blues', 'jack straw', 'chinatown shuffle', 'china cat sunflower', 'i know you rider', 'not fade away', ""goin' down the road feeling bad"", 'not fade away', ""truckin'"", 'the other one', 'morning dew', 'the other one', 'sing me back home', 'me and my uncle', 'ramble on rose', 'sugar magnolia', 'casey jones', 'one more saturday night']",N/A
32,Hollywood Bowl,Hollywood,USA,1972-06-17,1972,"['promised land', 'sugaree', 'black throated wind', 'tennessee jed', 'me and my uncle', 'china cat sunflower', 'i know you rider', 'playing in the band', 'loser', 'beat it on down the line', 'stella blue', 'el paso', 'casey jones', 'big railroad blues', 'jack straw', 'cumberland blues', ""truckin'"", 'drums', 'the other one', 'ramble on rose', 'rockin pneumonia', 'sugar magnolia', 'you win again', 'not fade away', ""goin' down the road feeling bad"", 'not fade away']",CA
33,Roosevelt Stadium,Jersey City,USA,1972-07-10,1972,"['bertha', 'me and my uncle', 'bird song', 'promised land', 'sugaree', 'black throated wind', 'china cat sunflower', 'i know you rider', 'jack straw', 'loser', 'beat it on down the line', 'stella blue', 'el paso', 'casey jones', 'greatest story ever told', 'playing in the band', 'brown eyed women', 'tennessee jed', ""truckin'"", 'dark star', 'comes a time', 'sugar magnolia', 'ramble on rose', 'mississippi half-step', 'sing me back home', 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",NJ
34,Dillon Stadium,Hartford,USA,1972-07-16,1972,"['promised land', 'cold rain and snow', 'black throated wind', 'sugaree', 'playing in the band', 'tennessee jed', 'jack straw', 'deal', 'mexicali blues', 'stella blue', 'cumberland blues', 'me and my uncle', 'mississippi half-step', 'sing me back home', 'ramble on rose', ""truckin'"", 'drums', 'the other one', ""he's gone"", 'the other one', 'looks like rain', 'sugar magnolia', 'not fade away', ""goin' down the road feeling bad"", 'hey bo diddley', 'johnny b. goode']",CT
35,Paramount Northwest Theatre,Seattle,USA,1972-07-21,1972,['unknown'],WA
36,Paramount Northwest Theatre,Seattle,USA,1972-07-22,1972,"['bertha', 'me and my uncle', 'you win again', 'jack straw', 'bird song', 'beat it on down the line', 'sugaree', 'black throated wind', 'big railroad blues', 'cumberland blues', 'brown eyed women', 'el paso', 'tennessee jed', 'playing in the band', 'china cat sunflower', 'i know you rider', 'mexicali blues', 'deal', 'promised land', 'sing me back hom', 'mississippi half-step', 'me and bobby mcgee', 'ramble on rose', ""truckin'"", ""he's gone"", 'sugar magnolia', 'not fade away', ""goin' down the road feeling bad"", 'not fade away']",WA
37,Paramount Theater,Portland,USA,1972-07-25,1972,['unknown'],OR
38,Paramount Theater,Portland,USA,1972-07-26,1972,['unknown'],OR
